Row ID,Order ID,Order Status,Order_Purchase_Date,Order_Delivered_Date,Order_Estimated_Delivery_Date),Ship Mode,VendorID,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,surcharge ,total cost
15,US-2015-118983,delivered,1/19/2018 0:00,43151,2/22/2018 0:00,Standard Class,VEN05,HP-14815,Home Office,Michigan,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,0.5,289.002
16,US-2015-118983,delivered,1/19/2018 0:00,43151,2/22/2018 0:00,Standard Class,VEN04,HP-14815,Home Office,Michigan,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,0.5,9.54
17,CA-2014-105893,delivered,3/29/2018 0:00,43199,4/17/2018 0:00,Standard Class,VEN05,PK-19075,Consumer,Michigan,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,0.5,978.8436
18,CA-2014-167164,shipped,6/28/2018 0:00,1/0/1900,8/3/2018 0:00,Second Class,VEN05,AG-10270,Consumer,Utah,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,0,45.51
19,CA-2014-143336,delivered,3/15/2018 0:00,43188,4/6/2018 0:00,Second Class,VEN01,ZD-21925,Consumer,California,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,0,6.0776
20,CA-2014-143336,delivered,3/15/2018 0:00,43188,4/6/2018 0:00,Second Class,VEN01,ZD-21925,Consumer,California,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,0,197.469
21,CA-2014-143336,delivered,3/15/2018 0:00,43188,4/6/2018 0:00,Second Class,VEN05,ZD-21925,Consumer,California,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,0,15.336
22,CA-2016-137330,delivered,3/27/2018 0:00,43188,4/9/2018 0:00,Standard Class,VEN05,KB-16585,Corporate,Nebraska,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,0.5,21.6006
23,CA-2016-137330,delivered,3/27/2018 0:00,43188,4/9/2018 0:00,Standard Class,VEN05,KB-16585,Corporate,Nebraska,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,0.5,66.9774
24,US-2017-156909,delivered,8/3/2018 0:00,43326,8/23/2018 0:00,Second Class,VEN01,SF-20065,Consumer,Pennsylvania,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,0,72.3916
25,CA-2015-106320,delivered,1/21/2017 0:00,42762,3/2/2017 0:00,Standard Class,VEN01,EB-13870,Consumer,Utah,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,0.5,1206.54765
26,CA-2016-121755,delivered,9/26/2017 0:00,43011,10/23/2017 0:00,Second Class,VEN05,EH-13945,Consumer,California,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,0,7.4256
27,CA-2016-121755,delivered,9/26/2017 0:00,43011,10/23/2017 0:00,Second Class,VEN05,EH-13945,Consumer,California,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,0,78.7959
28,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN01,TB-21520,Consumer,Michigan,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,0.5,7122.7233
29,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN05,TB-21520,Consumer,Michigan,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,0.5,25.0068
30,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN02,TB-21520,Consumer,Michigan,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,0.5,163.0125
31,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN05,TB-21520,Consumer,Michigan,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,0.5,3.2436
32,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN01,TB-21520,Consumer,Michigan,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,0.5,114.8922
33,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN02,TB-21520,Consumer,Michigan,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,0.5,18.8595
34,US-2015-150630,shipped,2/28/2018 0:00,1/0/1900,3/23/2018 0:00,Standard Class,VEN02,TB-21520,Consumer,Michigan,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,0.5,18.321
35,CA-2017-107727,delivered,9/13/2017 0:00,43000,10/4/2017 0:00,Second Class,VEN04,MA-17560,Home Office,Texas,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,0,19.5252
36,CA-2016-117590,delivered,8/9/2018 0:00,43337,9/5/2018 0:00,First Class,VEN04,GH-14485,Corporate,Texas,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,0.2,1168.88436
37,CA-2016-117590,delivered,8/9/2018 0:00,43337,9/5/2018 0:00,First Class,VEN05,GH-14485,Corporate,Texas,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,0.2,406.6596
38,CA-2015-117415,delivered,12/7/2017 0:00,43080,1/2/2018 0:00,Standard Class,VEN01,SN-20710,Home Office,Texas,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,0.5,116.8695
39,CA-2015-117415,delivered,12/7/2017 0:00,43080,1/2/2018 0:00,Standard Class,VEN01,SN-20710,Home Office,Texas,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,0.5,869.0634
40,CA-2015-117415,delivered,12/7/2017 0:00,43080,1/2/2018 0:00,Standard Class,VEN02,SN-20710,Home Office,Texas,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,0.5,340.8075
41,CA-2015-117415,delivered,12/7/2017 0:00,43080,1/2/2018 0:00,Standard Class,VEN01,SN-20710,Home Office,Texas,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,0.5,494.1174
42,CA-2017-120999,delivered,5/30/2018 0:00,43273,7/18/2018 0:00,Standard Class,VEN03,LC-16930,Corporate,Illinois,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,0.5,195.9174
43,CA-2016-101343,delivered,6/27/2017 0:00,42915,7/10/2017 0:00,Standard Class,VEN05,RA-19885,Corporate,California,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,0.5,110.979
44,CA-2017-139619,delivered,12/8/2017 0:00,43109,1/3/2018 0:00,Standard Class,VEN04,ES-14080,Corporate,Arizona,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,0.5,129.0816
45,CA-2016-118255,delivered,3/9/2018 0:00,43185,4/3/2018 0:00,First Class,VEN02,ON-18715,Corporate,Minnesota,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,0.2,31.45032
46,CA-2016-118255,delivered,3/9/2018 0:00,43185,4/3/2018 0:00,First Class,VEN02,ON-18715,Corporate,Minnesota,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,0.2,11.10456
47,CA-2014-146703,delivered,9/11/2017 0:00,42997,10/4/2017 0:00,Second Class,VEN01,PO-18865,Consumer,Michigan,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,0,203.4816
48,CA-2016-169194,delivered,6/12/2018 0:00,43270,7/12/2018 0:00,Standard Class,VEN04,LH-16900,Consumer,Delaware,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,0.5,60.075
49,CA-2016-169194,delivered,6/12/2018 0:00,43270,7/12/2018 0:00,Standard Class,VEN05,LH-16900,Consumer,Delaware,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,0.5,23.544
50,CA-2015-115742,delivered,7/3/2018 0:00,43292,8/8/2018 0:00,Standard Class,VEN05,DP-13000,Consumer,Indiana,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,0.5,30.3849
51,CA-2015-115742,delivered,7/3/2018 0:00,43292,8/8/2018 0:00,Standard Class,VEN01,DP-13000,Consumer,Indiana,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,0.5,59.7681
52,CA-2015-115742,delivered,7/3/2018 0:00,43292,8/8/2018 0:00,Standard Class,VEN05,DP-13000,Consumer,Indiana,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,0.5,4.8048
53,CA-2015-115742,delivered,7/3/2018 0:00,43292,8/8/2018 0:00,Standard Class,VEN02,DP-13000,Consumer,Indiana,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,0.5,109.33785
54,CA-2016-105816,delivered,5/23/2017 0:00,42898,6/23/2017 0:00,Standard Class,VEN03,JM-15265,Corporate,Michigan,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,0.5,13.5051
55,CA-2016-105816,delivered,5/23/2017 0:00,42898,6/23/2017 0:00,Standard Class,VEN05,JM-15265,Corporate,Michigan,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,0.5,1096.89675
56,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN02,TB-21055,Consumer,New York,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,0.2,187.704
57,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN03,TB-21055,Consumer,New York,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,0.2,20.2176
58,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN03,TB-21055,Consumer,New York,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,0.2,374.7744
59,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN04,TB-21055,Consumer,New York,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,0.2,9.08544
60,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN02,TB-21055,Consumer,New York,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,0.2,32.04
61,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN02,TB-21055,Consumer,New York,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,0.2,38.5416
62,CA-2016-111682,delivered,11/29/2017 0:00,43080,12/22/2017 0:00,First Class,VEN02,TB-21055,Consumer,New York,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,0.2,1.008
63,CA-2015-135545,delivered,1/14/2018 0:00,43120,1/30/2018 0:00,Standard Class,VEN04,KM-16720,Consumer,California,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,0.5,11.7432
64,CA-2015-135545,delivered,1/14/2018 0:00,43120,1/30/2018 0:00,Standard Class,VEN03,KM-16720,Consumer,California,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,0.5,24.6942
65,CA-2015-135545,delivered,1/14/2018 0:00,43120,1/30/2018 0:00,Standard Class,VEN04,KM-16720,Consumer,California,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,0.5,116.65035
66,CA-2015-135545,delivered,1/14/2018 0:00,43120,1/30/2018 0:00,Standard Class,VEN01,KM-16720,Consumer,California,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,0.5,86.1408
67,US-2015-164175,delivered,8/23/2017 0:00,42976,9/13/2017 0:00,Standard Class,VEN04,PS-18970,Home Office,Illinois,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,0.5,342.50625
68,CA-2014-106376,delivered,9/10/2017 0:00,42996,9/28/2017 0:00,Standard Class,VEN01,BS-11590,Corporate,Arizona,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,0.5,1502.5824
69,CA-2014-106376,delivered,9/10/2017 0:00,42996,9/28/2017 0:00,Standard Class,VEN02,BS-11590,Corporate,Arizona,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,0.5,157.47
70,CA-2016-119823,delivered,8/21/2018 0:00,43335,8/27/2018 0:00,First Class,VEN03,KD-16270,Consumer,Virginia,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,0.2,48.25968
71,CA-2016-106075,delivered,5/27/2018 0:00,43263,7/3/2018 0:00,Standard Class,VEN05,HM-14980,Consumer,New York,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,0.5,4.3275
72,CA-2017-114440,delivered,5/20/2017 0:00,42902,6/9/2017 0:00,Second Class,VEN05,TB-21520,Consumer,Michigan,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,0,10.287
73,US-2015-134026,processing,10/5/2016 0:00,1/0/1900,12/9/2016 0:00,Standard Class,VEN02,JE-15745,Consumer,Colorado,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,0.5,1419.4908
74,US-2015-134026,processing,10/5/2016 0:00,1/0/1900,12/9/2016 0:00,Standard Class,VEN03,JE-15745,Consumer,Colorado,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,0.5,143.7405
75,US-2015-134026,processing,10/5/2016 0:00,1/0/1900,12/9/2016 0:00,Standard Class,VEN04,JE-15745,Consumer,Colorado,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,0.5,136.47
76,US-2017-118038,delivered,7/28/2017 0:00,42954,8/17/2017 0:00,First Class,VEN04,KB-16600,Corporate,Michigan,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,0.2,3.81888
77,US-2017-118038,delivered,7/28/2017 0:00,42954,8/17/2017 0:00,First Class,VEN03,KB-16600,Corporate,Michigan,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,0.2,18.63936
78,US-2017-118038,delivered,7/28/2017 0:00,42954,8/17/2017 0:00,First Class,VEN01,KB-16600,Corporate,Michigan,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,0.2,29.4192
79,US-2014-147606,delivered,12/5/2017 0:00,43104,1/5/2018 0:00,Second Class,VEN04,JE-15745,Consumer,Colorado,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,0,33.775
80,CA-2016-127208,delivered,3/7/2018 0:00,43169,3/20/2018 0:00,First Class,VEN03,SC-20770,Corporate,Alabama,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,0.2,182.34816
81,CA-2016-127208,delivered,3/7/2018 0:00,43169,3/20/2018 0:00,First Class,VEN04,SC-20770,Corporate,Alabama,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352,0.2,10.44576
82,CA-2014-139451,delivered,8/20/2018 0:00,43334,8/24/2018 0:00,Standard Class,VEN04,DN-13690,Consumer,California,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,0.5,16.092
83,CA-2014-139451,delivered,8/20/2018 0:00,43334,8/24/2018 0:00,Standard Class,VEN01,DN-13690,Consumer,California,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,0.5,22.78035
84,CA-2015-149734,delivered,2/9/2018 0:00,43153,3/6/2018 0:00,Standard Class,VEN02,JC-16105,Corporate,Georgia,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,0.5,207.26475
85,US-2017-119662,delivered,8/2/2018 0:00,43322,8/16/2018 0:00,First Class,VEN01,CS-12400,Home Office,Florida,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,0.2,335.19708
86,CA-2017-140088,delivered,1/2/2018 0:00,43127,2/5/2018 0:00,Second Class,VEN03,PO-18865,Consumer,Michigan,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,0,268.7444
87,CA-2017-155558,delivered,4/18/2018 0:00,43223,5/18/2018 0:00,Standard Class,VEN04,PG-18895,Consumer,Minnesota,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966,0.5,19.7901
88,CA-2017-155558,delivered,4/18/2018 0:00,43223,5/18/2018 0:00,Standard Class,VEN02,PG-18895,Consumer,Minnesota,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568,0.5,4.8048
89,CA-2016-159695,shipped,3/17/2018 0:00,1/0/1900,4/13/2018 0:00,Second Class,VEN01,GM-14455,Home Office,Texas,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,0,144.5108
90,CA-2016-109806,delivered,1/5/2018 0:00,43123,2/14/2018 0:00,Standard Class,VEN03,JS-15685,Corporate,California,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,0.5,20.2005
91,CA-2016-109806,delivered,1/5/2018 0:00,43123,2/14/2018 0:00,Standard Class,VEN03,JS-15685,Corporate,California,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,0.5,97.9587
92,CA-2016-109806,delivered,1/5/2018 0:00,43123,2/14/2018 0:00,Standard Class,VEN03,JS-15685,Corporate,California,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,0.5,5.0544
93,CA-2015-149587,delivered,5/14/2018 0:00,43241,6/4/2018 0:00,Second Class,VEN01,KB-16315,Consumer,Minnesota,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208,0,6.7392
94,CA-2015-149587,delivered,5/14/2018 0:00,43241,6/4/2018 0:00,Second Class,VEN01,KB-16315,Consumer,Minnesota,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,0,36.8046
95,CA-2015-149587,delivered,5/14/2018 0:00,43241,6/4/2018 0:00,Second Class,VEN01,KB-16315,Consumer,Minnesota,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504,0,16.8096
96,US-2017-109484,delivered,11/26/2017 0:00,43077,12/20/2017 0:00,Standard Class,VEN01,RB-19705,Home Office,Oregon,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,0.5,14.205
97,CA-2017-161018,delivered,6/26/2018 0:00,43288,7/26/2018 0:00,Second Class,VEN05,PN-18775,Home Office,New York,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426,0,55.9874
98,CA-2017-157833,delivered,12/1/2017 0:00,43087,1/3/2018 0:00,First Class,VEN01,KD-16345,Consumer,California,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,0.2,40.02336
99,CA-2016-149223,delivered,5/26/2017 0:00,42895,6/28/2017 0:00,Standard Class,VEN04,ER-13855,Corporate,Minnesota,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852,0.5,82.9422
100,CA-2016-158568,delivered,8/9/2017 0:00,42965,9/4/2017 0:00,Standard Class,VEN05,RB-19465,Home Office,California,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,0.5,63.0084
101,CA-2016-158568,delivered,8/9/2017 0:00,42965,9/4/2017 0:00,Standard Class,VEN03,RB-19465,Home Office,California,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,0.5,160.15995
102,CA-2016-158568,delivered,8/9/2017 0:00,42965,9/4/2017 0:00,Standard Class,VEN03,RB-19465,Home Office,California,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,0.5,7.2414
103,CA-2016-129903,delivered,8/9/2018 0:00,43327,8/20/2018 0:00,Second Class,VEN03,GZ-14470,Consumer,California,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208,0,12.1992
